TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	59.00ms	17.99ms	59.00ms
2:	10.24.128.1	10	64.80ms	8.36ms	5.80ms
3:	181.47.254.85	10	67.20ms	7.27ms	2.40ms
4:	195.22.220.93	10	63.50ms	4.55ms	-3.70ms
5:	195.22.220.92	10	62.80ms	6.09ms	-0.70ms
6:	149.3.183.11	10	279.50ms	8.30ms	216.70ms
7:	 **** No hubo respuesta ***
8:	109.105.97.126	10	326.20ms	6.51ms	46.70ms
9:	109.105.102.102	10	345.40ms	29.91ms	19.20ms
10:	109.105.102.103	10	329.20ms	4.76ms	-16.20ms
11:	193.167.253.9	10	335.20ms	8.00ms	6.00ms
12:	128.214.173.242	10	348.50ms	11.66ms	13.30ms
13:	128.214.173.10	10	338.50ms	10.36ms	-10.00ms
14:	128.214.189.85	10	333.80ms	13.51ms	-4.70ms
15:	128.214.189.90	10	339.50ms	5.44ms	5.70ms
