TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	58.88ms	12.43ms	58.88ms
2:	10.24.128.1	10	63.80ms	4.57ms	4.92ms
3:	181.47.254.85	10	59.50ms	8.00ms	-4.30ms
4:	195.22.220.93	10	59.10ms	5.99ms	-0.40ms
5:	195.22.220.92	10	59.80ms	5.01ms	0.70ms
6:	149.3.183.11	10	270.80ms	3.97ms	211.00ms
7:	 **** No hubo respuesta ***
8:	109.105.97.126	10	327.20ms	8.97ms	56.40ms
9:	109.105.102.102	10	329.80ms	3.58ms	2.60ms
10:	109.105.102.103	10	330.10ms	6.81ms	0.30ms
11:	193.167.253.9	10	339.80ms	13.46ms	9.70ms
12:	128.214.173.242	10	334.80ms	6.39ms	-5.00ms
13:	128.214.173.10	10	329.80ms	5.49ms	-5.00ms
14:	128.214.189.85	10	326.50ms	3.72ms	-3.30ms
15:	128.214.189.90	10	336.80ms	2.62ms	10.30ms
