TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	59.12ms	15.03ms	59.12ms
2:	10.24.128.1	10	55.40ms	4.30ms	-3.73ms
3:	181.47.254.85	10	58.20ms	6.09ms	2.80ms
4:	195.22.220.93	10	60.10ms	6.01ms	1.90ms
5:	195.22.220.92	10	63.11ms	7.41ms	3.01ms
6:	149.3.183.11	10	271.50ms	4.70ms	208.39ms
7:	 **** No hubo respuesta ***
8:	109.105.97.126	10	324.10ms	2.60ms	52.60ms
9:	109.105.102.102	10	336.80ms	8.99ms	12.70ms
10:	109.105.102.103	10	333.20ms	17.01ms	-3.60ms
11:	193.167.253.9	10	333.80ms	8.51ms	0.60ms
12:	128.214.173.242	10	336.40ms	3.44ms	2.60ms
13:	128.214.173.10	10	333.22ms	12.11ms	-3.18ms
14:	128.214.189.85	10	328.40ms	5.15ms	-4.82ms
15:	128.214.189.90	10	337.20ms	5.81ms	8.80ms
