TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	58.88ms	11.43ms	58.88ms
2:	10.24.128.1	10	269.50ms	297.64ms	210.62ms
3:	181.47.254.85	10	376.80ms	397.21ms	107.30ms
4:	195.22.220.93	10	159.50ms	273.23ms	-217.30ms
5:	195.22.220.92	10	270.40ms	343.24ms	110.90ms
6:	149.3.183.11	10	578.20ms	484.79ms	307.80ms
7:	 **** No hubo respuesta ***
8:	109.105.97.126	10	554.90ms	380.83ms	-23.30ms
9:	109.105.102.102	10	662.50ms	465.88ms	107.60ms
10:	109.105.102.103	10	524.20ms	342.99ms	-138.30ms
11:	193.167.253.9	10	728.50ms	540.32ms	204.30ms
12:	128.214.173.242	10	740.80ms	577.47ms	12.30ms
13:	128.214.173.10	10	583.80ms	504.56ms	-157.00ms
14:	128.214.189.85	10	917.50ms	755.88ms	333.70ms
15:	128.214.189.90	10	685.10ms	556.12ms	-232.40ms
