TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	59.25ms	13.39ms	59.25ms
2:	10.24.128.1	10	65.70ms	10.26ms	6.45ms
3:	181.47.254.85	10	62.30ms	8.73ms	-3.40ms
4:	195.22.220.93	10	68.90ms	4.48ms	6.60ms
5:	195.22.220.92	10	66.10ms	5.36ms	-2.80ms
6:	149.3.183.11	10	273.20ms	10.27ms	207.10ms
7:	 **** No hubo respuesta ***
8:	109.105.97.126	10	328.50ms	7.74ms	55.30ms
9:	109.105.102.102	10	354.10ms	37.54ms	25.60ms
10:	109.105.102.103	10	333.30ms	7.50ms	-20.80ms
11:	193.167.253.9	10	338.10ms	14.25ms	4.80ms
12:	128.214.173.242	10	339.00ms	3.77ms	0.90ms
13:	128.214.173.10	10	331.60ms	5.19ms	-7.40ms
14:	128.214.189.85	10	336.90ms	11.68ms	5.30ms
15:	128.214.189.90	10	345.10ms	11.76ms	8.20ms
