TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	58.62ms	16.19ms	58.62ms
2:	10.24.128.1	10	63.20ms	3.22ms	4.58ms
3:	181.47.254.85	10	62.40ms	6.20ms	-0.80ms
4:	195.22.220.93	10	63.50ms	3.87ms	1.10ms
5:	195.22.220.92	10	59.50ms	4.77ms	-4.00ms
6:	149.3.183.11	10	273.80ms	6.81ms	214.30ms
7:	 **** No hubo respuesta ***
8:	109.105.97.126	10	335.20ms	16.25ms	61.40ms
9:	109.105.102.102	10	338.40ms	9.88ms	3.20ms
10:	109.105.102.103	10	332.80ms	8.18ms	-5.60ms
11:	193.167.253.9	10	346.80ms	16.40ms	14.00ms
12:	128.214.173.242	10	342.80ms	5.39ms	-4.00ms
13:	128.214.173.10	10	330.80ms	3.49ms	-12.00ms
14:	128.214.189.85	10	331.80ms	10.96ms	1.00ms
15:	128.214.189.90	10	344.50ms	13.88ms	12.70ms
