TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	54.88ms	10.84ms	54.88ms
2:	10.24.128.1	10	59.10ms	4.07ms	4.23ms
3:	181.47.254.85	10	58.90ms	3.57ms	-0.20ms
4:	195.22.220.93	10	65.60ms	13.57ms	6.70ms
5:	195.22.220.92	10	58.50ms	5.91ms	-7.10ms
6:	149.3.183.11	10	268.20ms	7.83ms	209.70ms
7:	 **** No hubo respuesta ***
8:	109.105.97.126	10	325.50ms	5.28ms	57.30ms
9:	109.105.102.102	10	332.50ms	6.50ms	7.00ms
10:	109.105.102.103	10	324.80ms	3.99ms	-7.70ms
11:	193.167.253.9	10	329.50ms	3.31ms	4.70ms
12:	128.214.173.242	10	345.40ms	14.68ms	15.90ms
13:	128.214.173.10	10	328.10ms	3.87ms	-17.30ms
14:	128.214.189.85	10	326.80ms	5.39ms	-1.30ms
15:	128.214.189.90	10	335.50ms	4.79ms	8.70ms
