TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	58.00ms	13.07ms	58.00ms
2:	10.24.128.1	10	60.20ms	6.12ms	2.20ms
3:	181.47.254.85	10	59.50ms	6.22ms	-0.70ms
4:	208.178.195.214	10	61.20ms	7.11ms	1.70ms
5:	208.178.195.213	10	59.80ms	6.53ms	-1.40ms
6:	67.17.75.66	10	186.90ms	12.56ms	127.10ms
7:	4.68.111.121	10	186.10ms	3.96ms	-0.80ms
8:	 **** No hubo respuesta ***
9:	212.187.139.166	10	274.80ms	7.87ms	88.70ms
10:	146.97.33.2	10	276.20ms	15.40ms	1.40ms
11:	146.97.37.194	10	274.10ms	6.14ms	-2.10ms
12:	193.63.108.94	10	275.10ms	3.35ms	1.00ms
13:	193.63.108.98	10	275.50ms	9.66ms	0.40ms
14:	193.63.109.42	10	276.10ms	4.70ms	0.60ms
15:	192.76.21.21	10	275.50ms	8.00ms	-0.60ms
16:	192.76.22.200	10	273.80ms	4.92ms	-1.70ms
17:	192.76.32.62	10	298.10ms	74.54ms	24.30ms
18:	129.67.242.155	10	272.50ms	4.06ms	-25.60ms
