TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	58.25ms	13.11ms	58.25ms
2:	10.24.128.1	10	64.50ms	8.55ms	6.25ms
3:	181.47.254.85	10	63.10ms	8.63ms	-1.40ms
4:	208.178.195.214	10	72.20ms	13.41ms	9.10ms
5:	208.178.195.213	10	60.80ms	4.66ms	-11.40ms
6:	67.17.75.66	10	200.90ms	10.66ms	140.10ms
7:	4.68.111.121	10	192.40ms	6.04ms	-8.50ms
8:	 **** No hubo respuesta ***
9:	212.187.139.166	10	283.80ms	9.60ms	91.40ms
10:	146.97.33.2	10	291.20ms	9.07ms	7.40ms
11:	146.97.37.194	10	287.80ms	7.66ms	-3.40ms
12:	193.63.108.94	10	281.10ms	12.38ms	-6.70ms
13:	193.63.108.98	10	279.10ms	8.25ms	-2.00ms
14:	193.63.109.42	10	294.80ms	7.71ms	15.70ms
15:	192.76.21.71	10	290.20ms	13.02ms	-4.60ms
16:	192.76.22.200	10	291.10ms	6.28ms	0.90ms
17:	192.76.32.62	10	291.80ms	6.55ms	0.70ms
18:	129.67.242.154	9	292.78ms	4.97ms	0.98ms
