TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	56.12ms	13.21ms	56.12ms
2:	10.24.128.1	10	63.50ms	6.64ms	7.38ms
3:	181.47.254.85	10	60.80ms	4.87ms	-2.70ms
4:	208.178.195.214	10	60.40ms	4.50ms	-0.40ms
5:	208.178.195.213	10	61.80ms	5.79ms	1.40ms
6:	67.17.75.66	10	189.20ms	3.26ms	127.40ms
7:	4.68.111.121	10	189.40ms	4.12ms	0.20ms
8:	 **** No hubo respuesta ***
9:	212.187.139.166	10	272.50ms	3.24ms	83.10ms
10:	146.97.33.2	10	274.80ms	11.44ms	2.30ms
11:	146.97.37.194	10	277.40ms	14.56ms	2.60ms
12:	193.63.108.94	10	275.80ms	6.60ms	-1.60ms
13:	193.63.108.98	10	276.50ms	5.95ms	0.70ms
14:	193.63.109.42	10	274.80ms	5.31ms	-1.70ms
15:	192.76.21.71	10	284.80ms	7.21ms	10.00ms
16:	192.76.22.200	10	278.50ms	7.85ms	-6.30ms
17:	192.76.32.62	10	273.80ms	5.18ms	-4.70ms
18:	129.67.242.154	10	281.10ms	3.28ms	7.30ms
