TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	54.88ms	15.64ms	54.88ms
2:	10.24.128.1	10	61.10ms	7.68ms	6.23ms
3:	181.47.254.85	10	64.20ms	8.26ms	3.10ms
4:	208.178.195.214	10	65.10ms	7.67ms	0.90ms
5:	208.178.195.213	10	56.50ms	5.54ms	-8.60ms
6:	67.17.75.66	10	181.40ms	4.27ms	124.90ms
7:	4.68.111.121	10	191.10ms	4.77ms	9.70ms
8:	 **** No hubo respuesta ***
9:	212.187.139.166	9	272.67ms	4.27ms	81.57ms
10:	146.97.33.2	10	280.10ms	14.33ms	7.43ms
11:	146.97.37.194	10	271.40ms	3.75ms	-8.70ms
12:	193.63.108.94	10	273.80ms	4.49ms	2.40ms
13:	193.63.108.98	10	274.10ms	5.43ms	0.30ms
14:	193.63.109.42	10	272.20ms	2.30ms	-1.90ms
15:	192.76.21.71	10	276.40ms	5.13ms	4.20ms
16:	192.76.22.200	10	271.20ms	5.16ms	-5.20ms
17:	192.76.32.62	10	277.80ms	6.34ms	6.60ms
18:	129.67.242.154	10	276.10ms	5.26ms	-1.70ms
