TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	58.00ms	14.23ms	58.00ms
2:	10.24.128.1	10	60.40ms	4.95ms	2.40ms
3:	181.47.254.85	10	57.80ms	3.99ms	-2.60ms
4:	208.178.195.214	10	64.80ms	4.76ms	7.00ms
5:	208.178.195.213	10	59.50ms	5.56ms	-5.30ms
6:	67.17.75.66	10	184.50ms	3.03ms	125.00ms
7:	4.68.111.121	10	188.10ms	5.67ms	3.60ms
8:	 **** No hubo respuesta ***
9:	212.187.139.166	10	272.80ms	5.27ms	84.70ms
10:	146.97.33.2	10	282.40ms	26.33ms	9.60ms
11:	146.97.37.194	10	274.20ms	3.55ms	-8.20ms
12:	193.63.108.94	10	277.40ms	10.49ms	3.20ms
13:	193.63.108.98	10	272.80ms	5.43ms	-4.60ms
14:	193.63.109.42	10	275.50ms	3.66ms	2.70ms
15:	192.76.21.71	10	274.50ms	2.55ms	-1.00ms
16:	192.76.22.200	10	272.80ms	4.92ms	-1.70ms
17:	192.76.32.62	10	273.80ms	3.85ms	1.00ms
18:	129.67.242.154	10	273.10ms	2.77ms	-0.70ms
