TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	55.50ms	9.06ms	55.50ms
2:	10.24.128.1	10	60.00ms	2.36ms	4.50ms
3:	181.47.254.85	10	59.50ms	5.46ms	-0.50ms
4:	208.178.195.214	10	63.80ms	5.51ms	4.30ms
5:	208.178.195.213	10	54.80ms	3.05ms	-9.00ms
6:	67.17.75.66	10	192.50ms	12.89ms	137.70ms
7:	4.68.111.121	10	186.40ms	3.89ms	-6.10ms
8:	 **** No hubo respuesta ***
9:	212.187.139.166	10	274.60ms	5.46ms	88.20ms
10:	146.97.33.2	10	271.00ms	4.06ms	-3.60ms
11:	146.97.37.194	10	279.40ms	17.21ms	8.40ms
12:	193.63.108.94	10	270.50ms	2.95ms	-8.90ms
13:	193.63.108.98	10	272.70ms	4.55ms	2.20ms
14:	193.63.109.42	10	273.10ms	4.51ms	0.40ms
15:	192.76.21.71	10	273.90ms	5.63ms	0.80ms
16:	192.76.22.200	10	270.80ms	2.90ms	-3.10ms
17:	192.76.32.62	10	272.80ms	4.76ms	2.00ms
18:	129.67.242.154	10	272.90ms	3.67ms	0.10ms
