TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	59.12ms	15.47ms	59.12ms
2:	10.24.128.1	10	61.80ms	5.41ms	2.67ms
3:	181.47.254.85	10	65.20ms	3.91ms	3.40ms
4:	208.178.195.214	10	66.50ms	6.57ms	1.30ms
5:	208.178.195.213	10	61.20ms	4.05ms	-5.30ms
6:	67.17.75.66	10	185.10ms	3.00ms	123.90ms
7:	4.68.111.121	10	189.50ms	5.28ms	4.40ms
8:	 **** No hubo respuesta ***
9:	212.187.139.166	10	275.50ms	10.94ms	86.00ms
10:	146.97.33.2	10	273.50ms	6.04ms	-2.00ms
11:	146.97.37.194	10	280.10ms	14.01ms	6.60ms
12:	193.63.108.94	10	271.50ms	6.65ms	-8.60ms
13:	193.63.108.98	10	274.10ms	3.63ms	2.60ms
14:	193.63.109.42	10	276.80ms	6.27ms	2.70ms
15:	192.76.21.71	10	275.10ms	6.66ms	-1.70ms
16:	192.76.22.200	10	271.50ms	4.25ms	-3.60ms
17:	192.76.32.62	10	276.10ms	3.87ms	4.60ms
18:	129.67.242.154	10	276.50ms	6.90ms	0.40ms
