TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	55.75ms	16.13ms	55.75ms
2:	10.24.128.1	10	61.80ms	6.48ms	6.05ms
3:	181.47.254.85	10	59.80ms	8.66ms	-2.00ms
4:	208.178.195.214	10	62.50ms	3.57ms	2.70ms
5:	208.178.195.213	10	56.10ms	3.78ms	-6.40ms
6:	67.17.75.66	10	183.50ms	4.28ms	127.40ms
7:	4.68.111.121	10	190.80ms	6.68ms	7.30ms
8:	 **** No hubo respuesta ***
9:	212.187.139.166	10	271.10ms	6.35ms	80.30ms
10:	146.97.33.2	10	282.80ms	13.24ms	11.70ms
11:	146.97.37.194	10	283.50ms	10.20ms	0.70ms
12:	193.63.108.94	10	272.50ms	3.03ms	-11.00ms
13:	193.63.108.98	10	272.80ms	3.91ms	0.30ms
14:	193.63.109.42	10	281.10ms	4.12ms	8.30ms
15:	192.76.21.71	10	270.80ms	3.43ms	-10.30ms
16:	192.76.22.200	10	281.10ms	3.54ms	10.30ms
17:	192.76.32.62	10	285.80ms	4.85ms	4.70ms
18:	129.67.242.154	10	273.20ms	3.99ms	-12.60ms
