TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	57.62ms	17.32ms	57.62ms
2:	10.24.128.1	10	61.40ms	4.93ms	3.77ms
3:	181.47.254.85	10	62.80ms	3.82ms	1.40ms
4:	208.178.195.214	10	63.50ms	3.81ms	0.70ms
5:	208.178.195.213	10	62.80ms	5.92ms	-0.70ms
6:	67.17.75.66	10	182.80ms	4.18ms	120.00ms
7:	4.68.111.121	10	188.80ms	5.12ms	6.00ms
8:	 **** No hubo respuesta ***
9:	212.187.139.166	10	273.10ms	3.41ms	84.30ms
10:	146.97.33.2	10	273.80ms	6.70ms	0.70ms
11:	146.97.37.194	10	278.80ms	13.29ms	5.00ms
12:	193.63.108.94	10	272.80ms	3.58ms	-6.00ms
13:	193.63.108.98	10	277.80ms	5.41ms	5.00ms
14:	193.63.109.42	10	274.10ms	8.20ms	-3.70ms
15:	192.76.21.71	10	284.80ms	4.16ms	10.70ms
16:	192.76.22.200	10	274.40ms	2.95ms	-10.40ms
17:	192.76.32.62	10	274.50ms	5.95ms	0.10ms
18:	129.67.242.154	10	281.10ms	3.57ms	6.60ms
