TTL	IP	Intentos	RTT Promedio	Desvio Standard	Delta RTT
1:	10.0.0.1	8	55.12ms	14.74ms	55.12ms
2:	10.24.128.1	10	99.40ms	23.50ms	44.28ms
3:	181.47.254.85	10	103.60ms	25.62ms	4.20ms
4:	208.178.195.214	10	105.40ms	27.14ms	1.80ms
5:	208.178.195.213	10	101.50ms	28.05ms	-3.90ms
6:	67.17.75.66	10	232.80ms	29.07ms	131.30ms
7:	4.68.111.121	10	225.40ms	32.48ms	-7.40ms
8:	 **** No hubo respuesta ***
9:	212.187.139.166	10	333.50ms	32.19ms	108.10ms
10:	146.97.33.2	10	330.50ms	18.74ms	-3.00ms
11:	146.97.37.194	10	331.80ms	19.80ms	1.30ms
12:	193.63.108.94	10	314.40ms	24.29ms	-17.40ms
13:	193.63.108.98	10	329.80ms	21.03ms	15.40ms
14:	193.63.109.42	10	338.80ms	18.48ms	9.00ms
15:	192.76.21.71	10	332.50ms	8.89ms	-6.30ms
16:	192.76.22.200	10	343.50ms	9.58ms	11.00ms
17:	192.76.32.62	10	340.40ms	7.49ms	-3.10ms
18:	129.67.242.154	10	320.20ms	28.18ms	-20.20ms
